Movie_Length_Bin,Genre_cluster,Inflated_revenue,propensity_score,propensity_score_z
Long,Science Fiction/Comedy film,109785.11823529411,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,311470557.5984694,107590124.64826033,0.35587912369096164
Long,Romantic drama/Drama,75368782.94793849,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,67638046.55981594,134400284.6041544,0.4449282384934588
Long,Drama/Action,70687931.66459627,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,579373793.1034483,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,5480332.454186717,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,66550590.1510223,90956139.43037148,0.3006298576765983
Long,Drama/Action,364394046.3468248,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,54195370.370370366,199264501.40603396,0.6603727229003783
Long,Romantic drama/Drama,6188964.069197031,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,63121666.66666666,134400284.6041544,0.4449282384934588
Long,Indie/Black-and-white,20568.256710963607,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,22965845.816149067,90956139.43037148,0.3006298576765983
Long,Science Fiction/Comedy film,322772282.72954106,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,376862.6176395289,107590124.64826033,0.35587912369096164
Long,Period piece/World cinema,21795270.63405258,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,5684759.578235294,121768933.49534872,0.40297359753461576
Long,Drama/Action,70051719.52312395,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,13901381.764358735,199264501.40603396,0.6603727229003783
Long,Science Fiction/Comedy film,8594210.995748987,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,15033636.643901844,107590124.64826033,0.35587912369096164
Long,Science Fiction/Comedy film,15202.857142857141,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,15985357.14285714,107590124.64826033,0.35587912369096164
Long,Psychological thriller/Mystery,10309038.35105614,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,51619174.97235907,124154737.39044231,0.41089797117878446
Long,Comedy film/Comedy,94733.30015933714,39827742.0229826,0.13080847138541615
Very Long,Comedy film/Comedy,5287847.352024921,116217403.65125443,0.384534363332749
Long,Drama/Action,29590881.304922115,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,1040617583.2055706,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,4493295.030105634,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,574288.5978831125,90956139.43037148,0.3006298576765983
Long,Short Film/Adventure,474742282.471784,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,101598347.40704222,301516630.9709455,0.9999999999999999
Long,Action/Crime Thriller,21839925.373134326,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,4051574.168660436,119486539.53913563,0.3953926967952801
Long,Indie/Black-and-white,9260554.628168909,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,210671744.02250338,90956139.43037148,0.3006298576765983
Long,Action/Crime Thriller,10759375.0,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,54128138.386779144,119486539.53913563,0.3953926967952801
Long,Indie/Black-and-white,23072385.89211618,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,566605.7976971942,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,9777823.8572026,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,63213137.407837294,90956139.43037148,0.3006298576765983
Long,Drama/Action,196334619.01656544,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,106904685.12801555,199264501.40603396,0.6603727229003783
Long,Science Fiction/Comedy film,40623492.06243123,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,313346479.9982425,107590124.64826033,0.35587912369096164
Long,Action/Crime Thriller,237448275.86206895,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,216106863.50506908,119486539.53913563,0.3953926967952801
Long,Indie/Black-and-white,30105.29260869565,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,72878513.00279503,90956139.43037148,0.3006298576765983
Long,Period piece/World cinema,119503640.51748173,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,182453912.2896229,121768933.49534872,0.40297359753461576
Long,Period piece/World cinema,23195263.3452877,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,4.880294608115619,121768933.49534872,0.40297359753461576
Long,Romantic drama/Drama,20324647.41342985,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,6710546.832006455,134400284.6041544,0.4449282384934588
Long,Drama/Action,8932717.186853807,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,645551972.1667582,199264501.40603396,0.6603727229003783
Long,Science Fiction/Comedy film,108390740.74074073,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,35723224.83505398,107590124.64826033,0.35587912369096164
Long,Indie/Black-and-white,2099061.668197094,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,118055556.28881986,90956139.43037148,0.3006298576765983
Long,Comedy film/Comedy,19271597.965763237,39827742.0229826,0.13080847138541615
Very Long,Comedy film/Comedy,1612890.8826837498,116217403.65125443,0.384534363332749
Long,Action/Crime Thriller,279796.2501605092,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,11205402.596483104,119486539.53913563,0.3953926967952801
Long,Parody/Black-and-white,14681688.963210702,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,62043718.99336734,129176375.32519253,0.4275771858378465
Long,Action/Crime Thriller,15185700.09794197,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,9156514.885733696,119486539.53913563,0.3953926967952801
Long,Science Fiction/Comedy film,35908588.95705521,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,17441565.22988506,107590124.64826033,0.35587912369096164
Long,Parody/Black-and-white,38286719.66034137,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,29119172.499999996,129176375.32519253,0.4275771858378465
Long,Science Fiction/Comedy film,21803766.556291386,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,94552.8681299729,107590124.64826033,0.35587912369096164
Long,Action/Crime Thriller,1350.8711764705881,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,123575439.36943163,119486539.53913563,0.3953926967952801
Long,Comedy film/Comedy,21221868.56287425,39827742.0229826,0.13080847138541615
Very Long,Comedy film/Comedy,2075188.1398313576,116217403.65125443,0.384534363332749
Long,Indie/Black-and-white,1084670.86344367,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,36568260.18043478,90956139.43037148,0.3006298576765983
Long,Drama/Action,12339451.66030037,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,50132127.881040886,199264501.40603396,0.6603727229003783
Long,Psychological thriller/Mystery,4452665.24475364,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,48836248.33730061,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,234571.97821354822,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,37442527.028050266,90956139.43037148,0.3006298576765983
Long,Psychological thriller/Mystery,126212941.25629614,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,44273425.46619718,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,206262.39808226793,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,71666233.86925465,90956139.43037148,0.3006298576765983
Long,Science Fiction/Comedy film,19837452.694610775,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,3805957.1859193784,107590124.64826033,0.35587912369096164
Long,Action/Crime Thriller,24387916.666666664,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,235734394.17128107,119486539.53913563,0.3953926967952801
Long,Romantic drama/Drama,7962261.849906541,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,9008270.33375715,134400284.6041544,0.4449282384934588
Long,Drama/Action,15322705.808579879,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,127509788.38029459,199264501.40603396,0.6603727229003783
Long,Period piece/World cinema,24101982.374596994,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,21129725.162062254,121768933.49534872,0.40297359753461576
Long,Romantic drama/Drama,6667815.0741171,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,130007.45010456028,134400284.6041544,0.4449282384934588
Long,Psychological thriller/Mystery,3622887.9668367347,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,5219299.386910539,124154737.39044231,0.41089797117878446
Long,Parody/Black-and-white,48053191.93309105,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,10293328.00551886,129176375.32519253,0.4275771858378465
Long,Period piece/World cinema,43742028.46975089,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,82967529.82351305,121768933.49534872,0.40297359753461576
Long,Psychological thriller/Mystery,2874104.7273763195,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,397690909.02911586,124154737.39044231,0.41089797117878446
Long,Psychological thriller/Mystery,563826.3935751294,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,16737723.97695783,124154737.39044231,0.41089797117878446
Long,Period piece/World cinema,231693402.6733333,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,15905163.043478258,121768933.49534872,0.40297359753461576
Long,Short Film/Adventure,126489497.58630952,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,547530373.3960596,301516630.9709455,0.9999999999999999
Long,Indie/Black-and-white,11958703.554697052,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,12013146.035463147,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,14791102.825063398,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,13889246.353319634,90956139.43037148,0.3006298576765983
Long,Action/Crime Thriller,6959426.1231395975,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,129311630.9682353,119486539.53913563,0.3953926967952801
Long,Action/Crime Thriller,19070703.93152069,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,77576677.77138303,119486539.53913563,0.3953926967952801
Long,History/Indie,485285.5801020408,30763577.417190842,0.10070212976351796
Very Long,History/Indie,8625008.132475143,107153239.04546267,0.35442802171085075
Long,Romantic drama/Drama,366448398.13021463,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,182974496.8306765,134400284.6041544,0.4449282384934588
Long,Period piece/World cinema,8104051.707999342,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,24678249.007936507,121768933.49534872,0.40297359753461576
Long,Indie/Black-and-white,47589.500220059665,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,2342023.7100102403,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,188610707.81598514,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,99690295.33898808,90956139.43037148,0.3006298576765983
Long,Parody/Black-and-white,51245764.70507772,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,2310759.7200224795,129176375.32519253,0.4275771858378465
Long,Period piece/World cinema,78478221.16564415,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,513682625.20410764,121768933.49534872,0.40297359753461576
Long,Psychological thriller/Mystery,58916444.100433804,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,100502330.62994817,124154737.39044231,0.41089797117878446
Long,Romantic drama/Drama,28311103.310397293,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,68816370.27975352,134400284.6041544,0.4449282384934588
Long,Indie/Black-and-white,13804481.13207547,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,22689516.76365848,90956139.43037148,0.3006298576765983
Long,Period piece/World cinema,7073421.981747638,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,146569456.56096625,121768933.49534872,0.40297359753461576
Long,Psychological thriller/Mystery,23430172.45423228,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,8622224.790594058,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,65913288.28828828,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,62268821.393674694,90956139.43037148,0.3006298576765983
Long,Drama/Action,343749773.0372609,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,222872554.19085053,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,7373867.83010204,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,8781806.20892288,90956139.43037148,0.3006298576765983
Long,Action/Crime Thriller,117734770.11494252,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,96111463.16600542,119486539.53913563,0.3953926967952801
Long,Action/Crime Thriller,12128050.512208588,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,1637975.2280505951,119486539.53913563,0.3953926967952801
Long,Indie/Black-and-white,4837702.795927418,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,48063777.37226277,90956139.43037148,0.3006298576765983
Long,Parody/Black-and-white,55834411.39161491,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,5363549.112094993,129176375.32519253,0.4275771858378465
Long,Drama/Action,33130754.716981128,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,66662938.625009164,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,3200742.5302631576,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,5102196.067005238,90956139.43037148,0.3006298576765983
Long,Romantic drama/Drama,43843445.692883894,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,10475682.746494563,134400284.6041544,0.4449282384934588
Long,Drama/Action,22179286.766385283,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,11474295.443391377,199264501.40603396,0.6603727229003783
Long,Comedy film/Comedy,1077785.5249693252,39827742.0229826,0.13080847138541615
Very Long,Comedy film/Comedy,160251780.33229813,116217403.65125443,0.384534363332749
Long,Indie/Black-and-white,57594731.42207442,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,5966547.428089715,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,41387.646876991705,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,30040745.033112578,90956139.43037148,0.3006298576765983
Long,Psychological thriller/Mystery,537956772.5885653,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,152013193.72444236,124154737.39044231,0.41089797117878446
Long,Parody/Black-and-white,53432847.21403509,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,50237779.291553125,129176375.32519253,0.4275771858378465
Long,Drama/Action,326578656.0516393,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,24554226.077553052,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,12497722.419928823,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,255304831.42241377,90956139.43037148,0.3006298576765983
Long,Psychological thriller/Mystery,19830491.285839416,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,229883856.36220855,124154737.39044231,0.41089797117878446
Long,Drama/Action,84936731.6832053,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,679696483.0227717,199264501.40603396,0.6603727229003783
Long,Psychological thriller/Mystery,23204873.604454737,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,1652516.5795564514,124154737.39044231,0.41089797117878446
Long,Romantic drama/Drama,1691455.8969742062,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,485192827.1859649,134400284.6041544,0.4449282384934588
Long,Science Fiction/Comedy film,34511635.32542944,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,18065123.456790123,107590124.64826033,0.35587912369096164
Long,Period piece/World cinema,85116242.20122288,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,287271230.2511112,121768933.49534872,0.40297359753461576
Long,Indie/Black-and-white,32026396.22641509,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,1011357.5386072708,90956139.43037148,0.3006298576765983
Long,Short Film/Adventure,520426644.37765974,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,1804140215.7709184,301516630.9709455,0.9999999999999999
Long,Drama/Action,10919962.686567163,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,69757542.04585889,199264501.40603396,0.6603727229003783
Long,Action/Crime Thriller,22836224.489795916,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,36429165.240354046,119486539.53913563,0.3953926967952801
Long,Action/Crime Thriller,35693290.12263586,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,42778708.78202492,119486539.53913563,0.3953926967952801
Long,Indie/Black-and-white,243896.93923751687,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,30369858.490566034,90956139.43037148,0.3006298576765983
Long,Romantic drama/Drama,10370165.839963503,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,635805235.8425378,134400284.6041544,0.4449282384934588
Long,Indie/Black-and-white,26282123.786407765,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,79316017.43538146,90956139.43037148,0.3006298576765983
Long,Drama/Action,171763537.19172534,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,584557997.9461098,199264501.40603396,0.6603727229003783
Long,Psychological thriller/Mystery,720478.5694579268,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,32464178.77935025,124154737.39044231,0.41089797117878446
Long,Psychological thriller/Mystery,61018614.5128514,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,53340850.46285721,124154737.39044231,0.41089797117878446
Long,Drama/Action,21293927.23880597,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,1271850110.7477725,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,19019607.31375502,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,95625003.47742915,90956139.43037148,0.3006298576765983
Long,Period piece/World cinema,1227424.2443302178,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,4645317.46031746,121768933.49534872,0.40297359753461576
Long,Psychological thriller/Mystery,12500597.237378389,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,119186969.41514608,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,12973868.04352941,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,79308826.54196633,90956139.43037148,0.3006298576765983
Long,Drama/Action,208268902.17272237,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,236387176.63354036,199264501.40603396,0.6603727229003783
Long,Drama/Action,214283.9989759344,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,139359523.80952382,199264501.40603396,0.6603727229003783
Long,Psychological thriller/Mystery,29293666.987487964,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,16524844.720496893,124154737.39044231,0.41089797117878446
Long,Action/Crime Thriller,7542654.639175257,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,135072509.98051527,119486539.53913563,0.3953926967952801
Long,Short Film/Adventure,66415145.097838596,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,323909198.3984912,301516630.9709455,0.9999999999999999
Long,Indie/Black-and-white,63151398.659411766,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,15021984.146979004,90956139.43037148,0.3006298576765983
Long,History/Indie,33408410.770186335,30763577.417190842,0.10070212976351796
Very Long,History/Indie,459413132.07547164,107153239.04546267,0.35442802171085075
Long,Romantic drama/Drama,18880967.741935484,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,4075971.715583989,134400284.6041544,0.4449282384934588
Long,Romantic drama/Drama,24380704.090110324,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,51984895.32012097,134400284.6041544,0.4449282384934588
Long,Indie/Black-and-white,21132902.623264246,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,1641409.744117647,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,30631.22333333333,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,7389603.171249586,90956139.43037148,0.3006298576765983
Long,Parody/Black-and-white,298191033.8624636,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,3727454.913862121,129176375.32519253,0.4275771858378465
Long,Period piece/World cinema,2379396.696638433,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,155541199.8755102,121768933.49534872,0.40297359753461576
Long,Drama/Action,148132677.72671536,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,49595971.09892857,199264501.40603396,0.6603727229003783
Long,Psychological thriller/Mystery,11099382.545931756,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,233793931.58519077,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,751116.4980557903,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,248072519.76868927,90956139.43037148,0.3006298576765983
Long,Romantic drama/Drama,19676632.040682413,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,35467215.44535441,134400284.6041544,0.4449282384934588
Long,Short Film/Adventure,733461330.060883,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,16934003.60743613,301516630.9709455,0.9999999999999999
Long,Romantic drama/Drama,402503157.2975352,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,175962258.79282206,134400284.6041544,0.4449282384934588
Long,Action/Crime Thriller,495400970.33879936,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,85604538.788377,119486539.53913563,0.3953926967952801
Long,Indie/Black-and-white,6283287.657321972,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,33146810.9929078,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,17622667.447088353,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,1571382.3040186914,90956139.43037148,0.3006298576765983
Long,Action/Crime Thriller,3922919.395760869,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,6967763.029009265,119486539.53913563,0.3953926967952801
Long,History/Indie,237307.6487850467,30763577.417190842,0.10070212976351796
Very Long,History/Indie,23362263.577631578,107153239.04546267,0.35442802171085075
Long,Indie/Black-and-white,15.90516304347826,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,3838550.1920890934,90956139.43037148,0.3006298576765983
Long,Psychological thriller/Mystery,680824.929464363,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,52403787.878787875,124154737.39044231,0.41089797117878446
Long,Drama/Action,6980201.821428571,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,66584540.42777777,199264501.40603396,0.6603727229003783
Long,Indie/Black-and-white,2130011.258634538,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,2288860.064550834,90956139.43037148,0.3006298576765983
Long,Drama/Action,21898793.716863517,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,55960450.81090907,199264501.40603396,0.6603727229003783
Long,Psychological thriller/Mystery,135433.84946127652,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,495270748.09468645,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,121914422.3433859,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,3760898.231681351,90956139.43037148,0.3006298576765983
Long,Indie/Black-and-white,31686484.317937974,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,23229742.18540026,90956139.43037148,0.3006298576765983
Long,Romantic drama/Drama,50394948.13278008,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,28158271.61782608,134400284.6041544,0.4449282384934588
Long,Parody/Black-and-white,33288249.140893467,52786713.69692069,0.17385129389051368
