Movie_Length_Bin,Genre_cluster,Inflated_revenue,propensity_score,propensity_score_z
Long,Romantic drama/Drama,30832864.26785714,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,285948869.9273327,134400284.6041544,0.4449282384934588
Long,Psychological thriller/Mystery,223466.90791725757,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,16383616.603968253,124154737.39044231,0.41089797117878446
Long,Indie/Black-and-white,3498294.1630656463,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,61613322.275000006,90956139.43037148,0.3006298576765983
Long,History/Indie,32526.040393173258,30763577.417190842,0.10070212976351796
Very Long,History/Indie,178086.20689655174,107153239.04546267,0.35442802171085075
Long,Action/Crime Thriller,4353513.772511116,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,48463994.623883925,119486539.53913563,0.3953926967952801
Long,Drama/Action,32079490.38461538,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,78107246.62162162,199264501.40603396,0.6603727229003783
Long,Period piece/World cinema,21998821.92557058,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,10824303.759003114,121768933.49534872,0.40297359753461576
Long,Psychological thriller/Mystery,191794030.1362651,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,18581269.84126984,124154737.39044231,0.41089797117878446
Long,Period piece/World cinema,505642.4440522512,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,43145743.55236167,121768933.49534872,0.40297359753461576
Long,Action/Crime Thriller,21880161.86552795,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,6320047.951213909,119486539.53913563,0.3953926967952801
Long,Short Film/Adventure,15758346.153846152,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,783442159.9621774,301516630.9709455,0.9999999999999999
Long,Parody/Black-and-white,92884279.1858072,52786713.69692069,0.17385129389051368
Very Long,Parody/Black-and-white,12277113.038776526,129176375.32519253,0.4275771858378465
Long,Indie/Black-and-white,5581145.576707047,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,152462659.6186077,90956139.43037148,0.3006298576765983
Long,Science Fiction/Comedy film,5806646.825396826,31200463.019988492,0.1021532317436288
Very Long,Science Fiction/Comedy film,230600759.78898722,107590124.64826033,0.35587912369096164
Long,Drama/Action,112290972.82360595,122874839.77776213,0.40664683095304544
Very Long,Drama/Action,64511928.28613138,199264501.40603396,0.6603727229003783
Long,Romantic drama/Drama,38744027.611940295,58010622.975882575,0.191202346546126
Very Long,Romantic drama/Drama,102656458.96945536,134400284.6041544,0.4449282384934588
Long,Indie/Black-and-white,59091585.25846357,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,177177815.25968844,90956139.43037148,0.3006298576765983
Long,Short Film/Adventure,133428049.38488576,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,92819682.8358209,301516630.9709455,0.9999999999999999
Long,Short Film/Adventure,187485431.90998837,225126969.34267363,0.746274108052667
Very Long,Short Film/Adventure,41481893.24193657,301516630.9709455,0.9999999999999999
Long,Comedy film/Comedy,46383056.60377359,39827742.0229826,0.13080847138541615
Very Long,Comedy film/Comedy,26129910.71428571,116217403.65125443,0.384534363332749
Long,Indie/Black-and-white,95374910.13622448,14566477.802099643,0.04690396572926541
Very Long,Indie/Black-and-white,485260.28130841115,90956139.43037148,0.3006298576765983
Long,Period piece/World cinema,547592.9642875389,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,2671921.2690322576,121768933.49534872,0.40297359753461576
Long,Psychological thriller/Mystery,10522706.476676906,47765075.762170464,0.15717207923145157
Very Long,Psychological thriller/Mystery,225800179.20139402,124154737.39044231,0.41089797117878446
Long,Action/Crime Thriller,467088.5136141304,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,280042477.68480974,119486539.53913563,0.3953926967952801
Long,Action/Crime Thriller,112959278.70819949,43096877.91086381,0.1416668048479473
Very Long,Action/Crime Thriller,1511459.4051103368,119486539.53913563,0.3953926967952801
Long,Period piece/World cinema,789674.335331291,45379271.867076874,0.1492477055872829
Very Long,Period piece/World cinema,221366853.48383346,121768933.49534872,0.40297359753461576
